Capas ocultas,Neuronas por capa,Learning rate,Epochs,Momentum,Validation loss,Entrenamieto loss,Entrenamieto accuracy,Validation accuracy,Test loss,Test accuracy
5,12,0.01,300,0.1,0.22713632881641388,0.11263579875230789,0.9375,0.875,0.02574663609266281,1.0
5,12,0.01,300,0.25,0.29836347699165344,0.13866345584392548,0.9270833134651184,0.875,0.030063387006521225,1.0
5,12,0.01,300,0.5,0.10903310775756836,0.08899905532598495,0.9479166865348816,0.9166666865348816,0.029412126168608665,1.0
5,12,0.05,300,0.1,0.15050767362117767,0.0990099236369133,0.9479166865348816,0.875,0.026991961523890495,1.0
5,12,0.05,300,0.25,0.056307267397642136,0.06047329679131508,0.9791666865348816,1.0,0.042610153555870056,1.0
5,12,0.05,300,0.5,0.05737236142158508,0.05536257103085518,0.9791666865348816,1.0,0.031726934015750885,1.0
5,12,0.1,300,0.1,0.14096564054489136,0.10204753279685974,0.9375,0.875,0.021660855039954185,1.0
5,12,0.1,300,0.25,0.34750041365623474,0.4923449754714966,0.6354166865348816,0.75,0.46195468306541443,0.699999988079071
5,12,0.1,300,0.5,0.02223757468163967,0.051489707082509995,0.9895833134651184,1.0,0.0722847431898117,0.9333333373069763
7,12,0.01,300,0.1,0.17058543860912323,0.2348749190568924,0.90625,0.875,0.16416481137275696,1.0
7,12,0.01,300,0.25,0.2693268358707428,0.12597538530826569,0.9270833134651184,0.875,0.02511577121913433,1.0
7,12,0.01,300,0.5,0.21809418499469757,0.28537076711654663,0.9583333134651184,1.0,0.2788015305995941,0.9333333373069763
7,12,0.05,300,0.1,0.09421215206384659,0.11355140805244446,0.9791666865348816,1.0,0.0968325138092041,0.9666666388511658
7,12,0.05,300,0.25,0.2646297514438629,0.19307291507720947,0.8854166865348816,0.875,0.03874603286385536,1.0
7,12,0.05,300,0.5,0.030982425436377525,0.05375407636165619,0.9791666865348816,1.0,0.05336977168917656,0.9666666388511658
7,12,0.1,300,0.1,0.2941474914550781,0.32671746611595154,0.8541666865348816,0.875,0.21409481763839722,0.9666666388511658
7,12,0.1,300,0.25,1.3228994607925415,1.3497129678726196,0.34375,0.25,1.272673487663269,0.36666667461395264
7,12,0.1,300,0.5,0.04364664852619171,0.05008889362215996,0.9791666865348816,1.0,0.04885084182024002,0.9666666388511658
10,12,0.01,300,0.1,0.28804755210876465,0.2604287564754486,0.9375,0.875,0.19664961099624634,1.0
10,12,0.01,300,0.25,0.1347055286169052,0.16507135331630707,0.9375,0.9583333134651184,0.08647232502698898,1.0
10,12,0.01,300,0.5,0.04275672137737274,0.05578118562698364,0.9791666865348816,1.0,0.033769574016332626,1.0
10,12,0.05,300,0.1,1.8050860166549683,2.422734498977661,0.2916666567325592,0.5,2.16271710395813,0.3333333432674408
10,12,0.05,300,0.25,0.0746353417634964,0.1780959814786911,0.9479166865348816,1.0,0.2881017327308655,0.8999999761581421
10,12,0.05,300,0.5,0.07179061323404312,0.06504485756158829,0.9791666865348816,0.9583333134651184,0.03147435188293457,1.0
10,12,0.1,300,0.1,0.2825092375278473,0.4313241243362427,0.65625,0.8333333134651184,0.36540114879608154,0.7666666507720947
10,12,0.1,300,0.25,0.1250429004430771,0.19453711807727814,0.9791666865348816,1.0,0.19400867819786072,0.8999999761581421
10,12,0.1,300,0.5,0.35236701369285583,0.49811026453971863,0.65625,0.75,0.4714283049106598,0.6333333253860474
5,24,0.01,300,0.1,0.14703993499279022,0.112928606569767,0.9375,0.875,0.04935258999466896,1.0
5,24,0.01,300,0.25,0.20220410823822021,0.14594922959804535,0.9270833134651184,0.875,0.0352666936814785,1.0
5,24,0.01,300,0.5,0.09593173116445541,0.0613081268966198,0.9791666865348816,0.9583333134651184,0.035655464977025986,1.0
5,24,0.05,300,0.1,0.030376678332686424,0.07709112018346786,0.96875,1.0,0.12385157495737076,0.9333333373069763
5,24,0.05,300,0.25,0.07149666547775269,0.06390244513750076,0.9791666865348816,0.9583333134651184,0.03146740049123764,1.0
5,24,0.05,300,0.5,0.03211258724331856,0.05226000025868416,0.9791666865348816,1.0,0.05269269272685051,0.9666666388511658
5,24,0.1,300,0.1,0.11273932456970215,0.09468697756528854,0.9479166865348816,0.9166666865348816,0.02664320357143879,1.0
5,24,0.1,300,0.25,0.11636220663785934,0.08546707779169083,0.9375,0.875,0.019902460277080536,1.0
5,24,0.1,300,0.5,0.03643633797764778,0.05274172127246857,0.9791666865348816,1.0,0.058127690106630325,0.9666666388511658
7,24,0.01,300,0.1,0.06782501190900803,0.07033976912498474,0.9791666865348816,1.0,0.06577763706445694,0.9333333373069763
7,24,0.01,300,0.25,0.20767998695373535,0.13138197362422943,0.9270833134651184,0.875,0.029333315789699554,1.0
7,24,0.01,300,0.5,0.12074559181928635,0.07339952141046524,0.96875,0.875,0.025054696947336197,1.0
7,24,0.05,300,0.1,0.13451138138771057,0.10384220629930496,0.9375,0.9166666865348816,0.021712468937039375,1.0
7,24,0.05,300,0.25,0.07281608879566193,0.08155002444982529,0.9583333134651184,0.9583333134651184,0.03980613499879837,1.0
7,24,0.05,300,0.5,0.019139142706990242,0.051884543150663376,0.9895833134651184,1.0,0.09245120733976364,0.9333333373069763
7,24,0.1,300,0.1,0.17142391204833984,0.1470290869474411,0.9375,0.875,0.05566722899675369,1.0
7,24,0.1,300,0.25,0.27575692534446716,0.43066057562828064,0.7083333134651184,0.875,0.3119809925556183,0.800000011920929
7,24,0.1,300,0.5,0.3473915159702301,0.4916313886642456,0.65625,0.75,0.46452999114990234,0.6333333253860474
10,24,0.01,300,0.1,0.25841668248176575,0.13577331602573395,0.9375,0.875,0.03118099644780159,1.0
10,24,0.01,300,0.25,0.1448388546705246,0.11320178955793381,0.9375,0.875,0.04740208387374878,1.0
10,24,0.01,300,0.5,0.02524423599243164,0.04638908430933952,0.9791666865348816,1.0,0.05976809561252594,0.9666666388511658
10,24,0.05,300,0.1,0.03297315165400505,0.07610537111759186,0.9895833134651184,1.0,0.10201819241046906,0.9333333373069763
10,24,0.05,300,0.25,0.34784749150276184,0.4923307001590729,0.65625,0.75,0.4650586247444153,0.6333333253860474
10,24,0.05,300,0.5,0.029444774612784386,0.04842522740364075,0.9791666865348816,1.0,0.05311920866370201,0.9666666388511658
10,24,0.1,300,0.1,0.4604233205318451,0.6762389540672302,0.6770833134651184,0.8333333134651184,0.4235849380493164,0.7333333492279053
10,24,0.1,300,0.25,0.3201775550842285,0.47496700286865234,0.7083333134651184,0.875,0.39887621998786926,0.7666666507720947
10,24,0.1,300,0.5,0.1643497347831726,0.25404760241508484,0.9166666865348816,0.9166666865348816,0.18361768126487732,1.0
5,36,0.01,300,0.1,0.14109738171100616,0.1033567413687706,0.9479166865348816,0.875,0.040693435817956924,1.0
5,36,0.01,300,0.25,0.2321982979774475,0.10819273442029953,0.9375,0.875,0.028760850429534912,1.0
5,36,0.01,300,0.5,0.11162664741277695,0.0616900734603405,0.9791666865348816,0.9166666865348816,0.03575972095131874,1.0
5,36,0.05,300,0.1,0.12827973067760468,0.09842437505722046,0.9479166865348816,0.875,0.019811395555734634,1.0
5,36,0.05,300,0.25,0.06021033227443695,0.05838062986731529,0.9791666865348816,1.0,0.038839537650346756,1.0
5,36,0.05,300,0.5,0.03501659259200096,0.0545312725007534,0.9791666865348816,1.0,0.04738452658057213,0.9666666388511658
5,36,0.1,300,0.1,1.1334985494613647,1.0943232774734497,0.3645833432674408,0.25,1.104358196258545,0.30000001192092896
5,36,0.1,300,0.25,0.0765857920050621,0.0672474354505539,0.96875,0.9166666865348816,0.028749261051416397,1.0
5,36,0.1,300,0.5,0.030659228563308716,0.04943656921386719,0.9791666865348816,1.0,0.045488227158784866,0.9666666388511658
7,36,0.01,300,0.1,0.21763522922992706,0.1275438815355301,0.9270833134651184,0.875,0.029778458178043365,1.0
7,36,0.01,300,0.25,0.18875324726104736,0.12295015901327133,0.9375,0.875,0.02702808380126953,1.0
7,36,0.01,300,0.5,0.10439278930425644,0.06489405035972595,0.9791666865348816,0.9583333134651184,0.033727966248989105,1.0
7,36,0.05,300,0.1,0.06377822160720825,0.06094971299171448,0.9791666865348816,1.0,0.03508008271455765,1.0
7,36,0.05,300,0.25,0.15352772176265717,0.11905503273010254,0.9375,0.875,0.019334834069013596,1.0
7,36,0.05,300,0.5,0.03528289124369621,0.0555817186832428,0.9791666865348816,1.0,0.06237570941448212,0.9666666388511658
7,36,0.1,300,0.1,0.17164403200149536,0.2651771903038025,0.96875,1.0,0.2379179298877716,0.9333333373069763
7,36,0.1,300,0.25,0.26033833622932434,0.20234309136867523,0.8645833134651184,0.875,0.04459163919091225,1.0
7,36,0.1,300,0.5,0.020257247611880302,0.04672404006123543,0.9791666865348816,1.0,0.15321487188339233,0.8999999761581421
10,36,0.01,300,0.1,0.03262099251151085,0.0874021127820015,0.96875,1.0,0.1514807641506195,0.9333333373069763
10,36,0.01,300,0.25,0.14940936863422394,0.13349537551403046,0.9375,0.875,0.05084880068898201,1.0
10,36,0.01,300,0.5,0.04306923225522041,0.055263061076402664,0.9895833134651184,1.0,0.05087019130587578,0.9666666388511658
10,36,0.05,300,0.1,0.09479514509439468,0.07648194581270218,0.9583333134651184,0.9166666865348816,0.025917015969753265,1.0
10,36,0.05,300,0.25,0.3478412926197052,0.49233853816986084,0.65625,0.75,0.4650718867778778,0.6333333253860474
10,36,0.05,300,0.5,0.03472711518406868,0.05230659246444702,0.9791666865348816,1.0,0.05226685851812363,0.9666666388511658
10,36,0.1,300,0.1,0.3167482316493988,0.4835384786128998,0.6354166865348816,0.7916666865348816,0.397009015083313,0.699999988079071
10,36,0.1,300,0.25,1.1375137567520142,1.0943437814712524,0.3645833432674408,0.25,1.1047886610031128,0.30000001192092896
10,36,0.1,300,0.5,0.515242874622345,0.7353889346122742,0.6354166865348816,0.75,0.6253682971000671,0.699999988079071
5,48,0.01,300,0.1,0.2246369868516922,0.11816709488630295,0.9375,0.875,0.023756619542837143,1.0
5,48,0.01,300,0.25,0.24040360748767853,0.11955330520868301,0.9270833134651184,0.875,0.025597689673304558,1.0
5,48,0.01,300,0.5,0.11170390993356705,0.06480098515748978,0.9791666865348816,0.9166666865348816,0.03239079564809799,1.0
5,48,0.05,300,0.1,0.09770122915506363,0.07936203479766846,0.9479166865348816,0.9166666865348816,0.02928725630044937,1.0
5,48,0.05,300,0.25,0.07278316468000412,0.061283502727746964,0.9791666865348816,0.9583333134651184,0.02697950229048729,1.0
5,48,0.05,300,0.5,0.03822626546025276,0.04931708052754402,0.9791666865348816,1.0,0.05778784677386284,0.9666666388511658
5,48,0.1,300,0.1,0.11351660639047623,0.16562969982624054,0.9375,0.9583333134651184,0.09245464205741882,1.0
5,48,0.1,300,0.25,0.26629093289375305,0.35299667716026306,0.8125,0.8333333134651184,0.31791168451309204,0.9666666388511658
5,48,0.1,300,0.5,0.028740623965859413,0.04739459231495857,0.9791666865348816,1.0,0.05429324135184288,0.9666666388511658
7,48,0.01,300,0.1,0.2594876289367676,0.10940643399953842,0.9479166865348816,0.875,0.021446697413921356,1.0
7,48,0.01,300,0.25,0.194144144654274,0.1164291501045227,0.9375,0.875,0.027591858059167862,1.0
7,48,0.01,300,0.5,0.10964385420084,0.06171305477619171,0.9791666865348816,0.9583333134651184,0.039947133511304855,0.9666666388511658
7,48,0.05,300,0.1,0.02762931026518345,0.05828777328133583,0.9895833134651184,1.0,0.07737500965595245,0.9333333373069763
7,48,0.05,300,0.25,0.08355846256017685,0.07038021832704544,0.96875,0.9166666865348816,0.0187960434705019,1.0
7,48,0.05,300,0.5,0.027310684323310852,0.04775339365005493,0.9791666865348816,1.0,0.05447666347026825,0.9666666388511658
7,48,0.1,300,0.1,0.13963371515274048,0.1146860420703888,0.9375,0.875,0.038349080830812454,1.0
