Learning rate,epoch,entradas,pesos,prediction,Salida deseada,loss,Pesos finales,bias,accuracy,umbral
1.00e-01,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.30e+01,"['-1.51e-01', '8.96e-01']",5.03e-01,8.38e-01,0.3
1.00e-01,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['-1.51e-01', '8.96e-01']",5.03e-01,1.84e+00,0.3
1.00e-01,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.30e+01,"['-1.51e-01', '8.96e-01']",6.80e-01,8.38e-01,0.5
1.00e-01,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['-1.51e-01', '8.96e-01']",6.80e-01,1.84e+00,0.5
1.00e-01,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.50e+01,"['-2.14e-02', '1.01e+00']",1.79e-01,8.12e-01,0.7
1.00e-01,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['-2.14e-02', '1.01e+00']",1.79e-01,1.81e+00,0.7
1.00e-01,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.50e+01,"['1.86e-02', '1.07e+00']",-6.70e-02,8.12e-01,0.9
1.00e-01,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['1.86e-02', '1.07e+00']",-6.70e-02,1.81e+00,0.9
1.00e-02,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,6.00e+00,"['-2.54e-02', '3.85e-01']",8.48e-02,9.25e-01,0.3
1.00e-02,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['-2.54e-02', '3.85e-01']",8.48e-02,1.93e+00,0.3
1.00e-02,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.10e+01,"['-6.44e-02', '3.94e-01']",4.62e-01,8.63e-01,0.5
1.00e-02,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,2.00e+00,"['-5.04e-02', '4.02e-01']",4.62e-01,1.84e+00,0.5
1.00e-02,3,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['-5.04e-02', '4.02e-01']",4.62e-01,2.84e+00,0.5
1.00e-02,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,8.00e+00,"['-1.34e-02', '3.92e-01']",4.30e-01,9.00e-01,0.7
1.00e-02,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['-1.34e-02', '3.92e-01']",4.30e-01,1.90e+00,0.7
1.00e-02,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,7.00e+00,"['3.16e-02', '3.97e-01']",4.89e-01,9.12e-01,0.9
1.00e-02,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['3.16e-02', '3.97e-01']",4.89e-01,1.91e+00,0.9
1.00e-03,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-1.54e-01', '3.59e-01']",6.54e-01,5.00e-01,0.3
1.00e-03,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,5.00e+00,"['-1.23e-01', '3.65e-01']",6.59e-01,1.44e+00,0.3
1.00e-03,3,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.00e+00,"['-1.17e-01', '3.66e-01']",6.60e-01,2.42e+00,0.3
1.00e-03,4,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['-1.17e-01', '3.66e-01']",6.60e-01,3.42e+00,0.3
1.00e-03,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-1.54e-01', '3.59e-01']",4.59e-01,5.00e-01,0.5
1.00e-03,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.60e+01,"['-6.04e-02', '3.79e-01']",4.75e-01,1.30e+00,0.5
1.00e-03,3,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.00e+00,"['-5.44e-02', '3.80e-01']",4.76e-01,2.29e+00,0.5
1.00e-03,4,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['-5.44e-02', '3.80e-01']",4.76e-01,3.29e+00,0.5
1.00e-03,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-1.54e-01', '3.59e-01']",9.94e-02,5.00e-01,0.7
1.00e-03,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,3.10e+01,"['2.86e-02', '3.99e-01']",1.30e-01,1.11e+00,0.7
1.00e-03,3,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,2.00e+00,"['3.86e-02', '4.01e-01']",1.32e-01,2.09e+00,0.7
1.00e-03,4,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['3.86e-02', '4.01e-01']",1.32e-01,3.09e+00,0.7
1.00e-03,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-1.54e-01', '3.59e-01']",7.96e-01,5.00e-01,0.9
1.00e-03,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.70e+01,"['-5.36e-02', '3.80e-01']",8.13e-01,1.29e+00,0.9
1.00e-03,3,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,1.00e+00,"['-4.76e-02', '3.81e-01']",8.14e-01,2.27e+00,0.9
1.00e-03,4,[6.7 1.7],"['-3.91e-01', '3.06e-01']",1,1.00e+00,0.00e+00,"['-4.76e-02', '3.81e-01']",8.14e-01,3.27e+00,0.9
1.00e-04,1,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-3.68e-01', '3.11e-01']",9.80e-01,5.00e-01,0.3
1.00e-04,2,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-3.44e-01', '3.17e-01']",9.84e-01,1.00e+00,0.3
1.00e-04,3,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-3.20e-01', '3.22e-01']",9.88e-01,1.50e+00,0.3
1.00e-04,4,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-2.97e-01', '3.27e-01']",9.92e-01,2.00e+00,0.3
1.00e-04,5,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-2.73e-01', '3.33e-01']",9.96e-01,2.50e+00,0.3
1.00e-04,6,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-2.49e-01', '3.38e-01']",1.00e+00,3.00e+00,0.3
1.00e-04,7,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,4.00e+01,"['-2.25e-01', '3.43e-01']",1.00e+00,3.50e+00,0.3
1.00e-04,8,[6.7 1.7],"['-3.91e-01', '3.06e-01']",0,1.00e+00,3.30e+01,"['-2.05e-01', '3.48e-01']",1.01e+00,4.09e+00,0.3
