Learning rate,epoch,entradas,pesos,prediction,Salida deseada,loss,Pesos finales,bias
1.00e-02,1,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,5.00e+00,"['-3.16e-01', '8.72e-01']",1.02e+00
1.00e-02,2,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,2.00e+00,"['-3.02e-01', '8.80e-01']",1.02e+00
1.00e-02,3,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,2.00e+00,"['-2.92e-01', '8.84e-01']",1.02e+00
1.00e-02,4,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,5.00e+00,"['-3.08e-01', '8.94e-01']",1.01e+00
1.00e-02,5,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,2.00e+00,"['-2.98e-01', '8.98e-01']",1.01e+00
1.00e-02,6,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,2.00e+00,"['-2.88e-01', '9.02e-01']",1.01e+00
1.00e-02,7,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,5.00e+00,"['-3.05e-01', '9.12e-01']",1.00e+00
1.00e-02,8,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,2.00e+00,"['-2.95e-01', '9.16e-01']",1.00e+00
1.00e-02,9,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,4.00e+00,"['-2.79e-01', '9.25e-01']",1.00e+00
1.00e-02,10,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,3.00e+00,"['-3.15e-01', '9.26e-01']",9.92e-01
1.00e-02,11,[6.7 1.7],"['-5.20e-01', '8.23e-01']",1,1.00e+00,0.00e+00,"['-3.15e-01', '9.26e-01']",9.92e-01
